Seq_ID                    	HCA    	Disord 	Aggreg 	HCA_seq
cds-YP_025295.1           	6.300  	0.000  	0.560  	110010100111111011010111000110101....101001101....	
cds-NP_415114.1           	-0.170 	0.041  	0.084  	.......10011001...........................11010101....101001001001001001001011001.....11011....1010001001.......................1010101....10100101...............................1100101....1110101001011....10101101100101.........................110101.................................1111001.........100110101010101001001101001......10001110011001110011.................	
cds-NP_415115.2           	0.940  	0.029  	0.160  	..............101101....110001111.................1000100110100101011..............11001001............10101001101.....100011.......1001010101010101.................110101101............11010101000111011...	
cds-NP_415116.1           	-0.310 	0.123  	0.088  	1000100101110101101...........................................100010011001...................101001...................10001................11001011...............11011.......100010011.....................1000101011001.....................10001......11000100110101..1001010001..............................110001010100010001...................................11010100111000101.101110001010001.......................................11011.......................110001...101000100010101010001.........................................100010101....11001011000100010001101....10001101001...11001000101.100011100010111................101000101.....1010001011.........................1011010001010001010001001100011...............................111010001	
cds-NP_415117.2           	0.200  	0.033  	0.092  	100101.............100100011010111........10010011111001...................1101000100010001111...............10100010011.......101001.......100101.................................................10111000110001....11001.........11111001..........10001110100011.11001................1001001100101...10111.................111001.........101110001...........11001..1000111001......111000110011011........	
cds-YP_588441.1           	-0.600 	0.208  	0.069  	....................................10111.......100110001001............	
cds-NP_415118.1           	0.260  	0.025  	0.128  	10001........1110001001...1010011010001...1100011001.....10101......1101100010101..11010001........110001000101.....111001101....11110010011100101..1000100111011............10011001001.......................................11010101....10010001001....10101001110011001010001111001..........11011.10101........100010001001...........................1101011010101..............100101011..1000101011.................10111001.....1110010111...1001001...........10011.................1110100100011010011..........10101...11101010011........10001....10111.......................100111..........................................110011110001.............101010110111...................101001100101........110011001........100100111........11001001....10011......101011..10001001..........1100010110011......10001110010100011..........................10011.....................1010010011001..10001000111............110111...........100010001......111101....................................11000100110101..............110101000100010001....11100010010011.........1010011..................101010110011...101101..............1001100010011.......11110101000100010001......1011011001..................11001..................1100100010001011....................10001........110010110001001011..........110001..	
cds-NP_415119.1           	1.880  	0.034  	0.186  	100101....................10110110111.....1101110101001110111...............1010010001001011010101.....101110010010110011....111001....10010100011010001001............110010101..........1100110110011100010010001010001...............10001001010101......................10101....100010100010010010001....111001....100101..10101..............111110011001101001110101.......1100011	
cds-NP_415120.1           	0.840  	0.052  	0.074  	10001001....101010010100010101....10011.........110010011.....................10001011.........1010011.........11001.......10001........................110111..............11010001011011001.....10100110010001010001101.............110001100110101111.......................	
cds-NP_415121.1           	4.750  	0.000  	0.518  	111100011101111100111001101...........110011......1011100101..1110111000101000110011................10011101111000100101001100110011111101000100101111010100111010011110001000100011....100101........111111100011100101101.....1010101....1111110111..........1011011...10001............1100111100011000111.....101101010011111111......	
cds-NP_415122.1           	2.960  	0.000  	0.389  	1000101000101..111111100010111........1110010001....101110001...10011....10100011001..................101110001101......10101000110011101...........101010010100110010001011...11001011....10100100101111.........111000100101.......10001....11011010111.........10110111..100111.................1111001100111...1010110011...111111........	
cds-NP_415123.1           	3.140  	0.019  	0.435  	.....11101011.....1001110011011010110101.101011....101010101....111011100110001............10101101110011....11011110110011001010011.................101101010011..1100111....1010101.....11011..................100110010111...1100101100110100010111..1000101....10111001.10001001............11111001001101011011.111101111011011001001101011.......110010011.........1000110010011..........10111101111111101001............	
cds-NP_415124.1           	-0.460 	0.000  	0.182  	.....1100011100111001001........................110001010001101.....................11001001.....100111.......10001..............1011001001...11101....10011001001..........10010001.............100111..................110010101001.......................10001......................11001...............1010110010110010011	
cds-NP_415125.1           	-1.260 	0.090  	0.107  	1000100010001001..................11001.............100010011...........111001..................................................10011...........100111001101.....10001110011....1010101............................................................1100010011......................................1010111................11001..1000110011011.......1110101001...........................101001101101.	
cds-NP_415126.1           	0.030  	0.045  	0.131  	...........10001....11001.10011.................101001......10101...........1101001001110110110101..11011......10010001..................110011.....1011011.......10001................101101.................11101000101101.....11101.............10111........................1010011...101110011.......100101101....100010001...101010011010001101001...................................10011....1010011..............1110001101...........................100111....11100110100011....101111...1001010011....100101...1011001.1001001....10011......	
cds-NP_415127.1           	1.450  	0.095  	0.144  	.....100101..........10101......111001001110110001.1100110010010011......................110011............11001.......1110101001....10011.......1110011001011......11001..1110001001.....1101011......11100011..........100111..............110101001011010001001000101111.....100110110001.	
cds-NP_415128.1           	1.550  	0.020  	0.145  	................1010001011.....10010001......10001101.....100110011.....10011..................10001010100010110001001....................101001......100101010101....101011........1000111........100100010101..........10001111000100010100111........	
cds-NP_415129.1           	1.640  	0.000  	0.124  	111000101001.......110010111001000110001....................1000100100111.....1110001............10011...........101111......11010100011.	
cds-NP_415130.1           	3.470  	0.033  	0.435  	......11110110110010101101.....10011111001111110101101110001101.......................1110001001.........110001011..1111100111000100111111........100110001.....11011011111111101101111001....1001010101.101110111011....1001011011111101100011........11010010101111010110011.11111....110011010011010101111........10011.....1100011.111101010010010011...............1110100111001101101100111...11101.....................110010101....10010001..............10101011100010011010111010111001111001........1110011011.............11000111101011100011..10010011.110100011001011110111101....1011011...111110100010001.....10110100010011.............1001110001000101111111111011010001001..................10011.......	
cds-YP_588442.1           	-1.940 	0.123  	0.000  	11001............11101..1001100101.......1010011.................	
cds-NP_415132.1           	1.120  	0.014  	0.122  	.....10111...........10010011....10001111.......................1110001.................11101...........1000101.......10001001..10111......101011....11111...........1110010001001100111........1010101.....100111..............1000110110011....110010001001.....10001011...........101011100011....11001000100101...10010101.....100110001..1001011........10001001001..	
cds-NP_415133.1           	0.990  	0.036  	0.106  	..............100011001001......1010001.......1100010001.........10010010001...........................110010011...................1010001100101....101010010011........................10011001....11110001100101..................101001000101001010111....1000100100110101.....1010011...................111001.........10001111101001001001011011..........10111.......110111.................	
cds-NP_415134.1           	1.570  	0.038  	0.024  	10001000100010011001.....10010010101001.......1011111.....................11000101001.............1011001...........101010011............10001..........1001001100100101....1000101....11010010010011....1000101.	
cds-NP_415135.1           	1.330  	0.020  	0.138  	101101.............10101001..11101.......111010001000100011111101000101010110010011001100111101.....................................11111...10100110010011.......11101.....1001101001.........................1101010011011.........1101110001.1001011..........1111011....10011001001........................10100101111001.......100010111011......................10011011100011100101.......10010001......10111...	
cds-NP_415136.1           	3.810  	0.000  	0.080  	100110100101011111011100101.............100010010001..................101000100010010001011....10001111...........111011.....1010100111...............111001.110001111.1001000111............1001100010011.....1001010100011000101....11011001010011011.101100100110100101......1011101....10011100110010001	
cds-NP_415137.2           	0.320  	0.024  	0.153  	11001111011..1010001...........1011001.....10011001001010111.......100111......10001100011......11001..............111111......110011...........10100111011..............................10101.................110010001............1000101.....10111...	
cds-NP_415138.1           	-1.270 	0.070  	0.070  	10110001........................1011111...10111...100100010010010101101.................100101011......10001001..................1100101...........11001............................1011001	
cds-NP_415139.2           	1.070  	0.021  	0.081  	11000100010011001...1011001........10011001001000101..............................10001001110111...........1100100100010100110101001..11001011011.............10001......................1010011001.................101111.................10001100010001100101001101.......10001010100101011............10001001....................100101....................................1000101001100101101........1100010010010111.............11010100010001001010011101011....110001....100111000100010011.........100111.........10010111.....	
cds-NP_415140.1           	2.080  	0.000  	0.077  	1100111.10110101................11011011.....10100100010010001.......1001100101....1000101001000100100010001111......100011...................	
cds-NP_415141.1           	0.230  	0.066  	0.080  	100101.....101001..........11101....1100010110001.......11000110011..................1110100111101001001.....................11010011001.............................1110011.........................101101010011............10101...............................1001100101.........1100101.......10011001..........11001100111000100010101....100110011.1100011....110011..................1001111............10011001.....	
cds-YP_009518757.1        	6.620  	0.000  	0.759  	1000111110111100111101111....	
cds-NP_415143.1           	1.740  	0.074  	0.037  	.....111001....10111.........100010001..............1101000101001....10100111................100011010100010101...100010110101..........	
cds-NP_415144.1           	-1.000 	0.052  	0.078  	10011....1101011..............100100111010100011.........................11010011................110101...............................10011.......1100101.............110011010001.......1100010001....100010001....10010101.....110010101......................1000111.....	
cds-NP_415145.1           	3.750  	0.000  	0.495  	.......11011..1111011111..........1011011101110111.......101101011110001111................10101001....1111100111010101001000101111011....10101011110111.................11001..11001........100111111110001000111......1101011001001010110111111.10111111..1101111.................1001001....101101111010111100011....101101011101011.100100100010011010011110001....1101100010001001.....111111111100111001.........111010001....100111111101011011........111101011....110100110111101111101.11011.	
cds-NP_415146.1           	0.720  	0.024  	0.134  	............10001100101101001100101.....1100101.....101001....1010011..11010010001....11001..1010100011............11010111001001101...............11001.................1100101............1110001..110110001...1011001111101....................................1011001000110001.......11110111001	
cds-NP_415147.1           	-0.670 	0.066  	0.038  	.......................................1101011.........1000110001001001................................10100101.....1001101011....................................10011001001100100101.	
cds-NP_415148.1           	1.300  	0.031  	0.098  	10001.................101001.................110010001....1000101010001....10101110110010100101...........110010001100110001...1000100011....................1010101101................1100101011.......111100011.............1011101001............................11100011000101........10100110001....10001010010001101....11001101001...............................10010111100101000101011..............1000100010111..110001..110011011.....10111.............10001....101101011.............1010001101101....11011001..	
cds-NP_415149.4           	-0.020 	0.043  	0.036  	110001....................11000111....11101000101........111001...110010011010010001010010011.................110100011010001........11001...101000101......110101....11001..........111001011.......10010011...............100101..........10110011........................10110100011.......................	
cds-NP_415150.1           	3.350  	0.133  	0.000  	.......10001....11101.......1010100010001000100011011001010010101.....1011100010011...............	
cds-NP_415151.4           	1.810  	0.048  	0.065  	1100011001.......10010011....1010001011101.....110100100011011010001....10101000110101..............1001100101001001..11111......10010001001......101111...................101101111........100010111.................................110011001010110011...10100011....1101000100010111.........10110100101001......10011..............1010110011...............	
cds-NP_415152.1           	2.110  	0.016  	0.208  	.........101100101.101111111101111001001100010011010100101...........11001....10010010001.....101111.........................................10101............11011010111001001000111.100111111011111011100010001101....10011.....110011001101....11001.....................11011....110001......11001001011...........11001101.....100100010010011001001....10110010011010010011011.........110010001....100111001.....10101111................10011001100010001.......110111......11101..........1000110001...........1011110011001001101.....100110111...............	
cds-NP_415153.1           	1.450  	0.053  	0.075  	....101111.....100100011001..1001110001....111001...11110011.....101100110001............10010001010110111..1010010001001.....11001.......10011001...............1010010011...........1000101.......11011....11100110001..........	
cds-NP_415154.1           	3.520  	0.011  	0.469  	1101101110111110100111001....111100111111001100011.............1101101111.....101111111010011001....11101...........111110011101110101.....1011110011.1110101................................101101010001.10100110101001110011.....10001101001......11011....11011110001...10110111111110011011001....1100101010010001001111110001100010010110011010001....1111111111011001........11011011.......................10001..10011101001001............1110111111000111..........	
cds-NP_415155.1           	3.500  	0.000  	0.145  	101001101101111011010011.....1100100010001.....10111..101000101............1000101001.....1001101010001001..1001010001.......10101010001................100101..10101011........1110110101	
cds-NP_415156.1           	0.130  	0.174  	0.116  	10010001011.................11101001.............10101...............	
cds-NP_415157.1           	6.220  	0.000  	0.520  	1101110111......1001110101..10001.100100011001110101011001001..1101110001100100100100011111....10101101110110010100101111......	
cds-NP_415160.1           	2.220  	0.149  	0.179  	10010100111100111111....1001000100010010001........................	
cds-NP_415161.1           	0.850  	0.047  	0.093  	....111000101..........................110101......10010001....10011.......10011......111100110001..................10100010010101111001............10011001......1010011..100010001011......110001001..11001.....10101011001............11101......11011001....1011010011........10011............10101.......1100010001........	
cds-NP_415162.4           	2.320  	0.038  	0.132  	.....................11001001010110110011100011............100010010111................10101001100010011001010001.............100111.1110010001................100100011100111....100011100011111..............................100100010011....101001011010011....11011...110110011..............101010100101...1100110110001	
cds-NP_415163.2           	1.590  	0.023  	0.075  	1100011100101.....10001001........1001111001.......................................11111101....10100110110001100100101.................1101010100010100101010101........10100101001001............110011011..........	
cds-NP_415164.1           	3.210  	0.149  	0.057  	10001001101...1010110001..110011011...................10010101....100100110010010110111	
cds-NP_415165.1           	0.850  	0.000  	0.134  	100110001100101000110011.......1010011..........111101...................10011001110001........................................1001100101......1101001.......11011001100101....1001001...........101100011001...........101001001....111000101001....................10110011..............110101011001..1010001..............10100011101....1001000111.............110010101.........1111001....11001101101110011.	
cds-NP_415166.1           	-4.580 	0.279  	0.061  	100011011100011001...............................................................10011...............................1001001....111101...............................................101001.......................................................................................................11101001........10001000101.........110101...........10001.....10011....	
cds-NP_415167.1           	3.950  	0.027  	0.414  	.........1100101...11111101111001111......101100010010101111111001...11001..1111111111101001001......110101101....100101.111001100011........10111111..........100011101001111110010101101011110011.1111111001....11111......10001011000101...........................11101100010110111110111111100111.......1001100011111111111010110011................11111001011101.....110001	
cds-NP_415168.1           	0.790  	0.028  	0.128  	1010001001.....11100011011011110011100110101101001............................1010001101011...10010001001001101......................10001001010010100101..10100100011.100010011011001......................10010100110011.....100101.....11001001.......11101010100110011................11011........111001....10011........................110100100011....................1001001....1010001......1110101010100100110010100100101.............................10100011....101000111110001101.......................10010001101.................................................10001....11001.......1010111........10011001100111....................	
cds-NP_415169.1           	0.170  	0.032  	0.065  	101011010001..1100010011001.....101101..........10011...............110101.........1000100101....10111.................10100101...1101110001100101.........	
cds-NP_415170.4           	1.070  	0.000  	0.048  	.....100111001001....110101.....10011111.......110100011....................11110100111011......11010011.	
cds-NP_415171.1           	2.170  	0.030  	0.069  	101111........10011..................100110010101111001.......................10011100101.............100110010001......100100010011001001001001111....110111001101....11010100011001010001001011..........	
cds-NP_415172.1           	0.020  	0.113  	0.089  	100100110001..101001..1001001101001011....................110101.....................................10111..........11010011.....................100110001.....................1101000110001.....10011...11011.......	
cds-NP_415173.1           	1.500  	0.000  	0.175  	11011...1000100010001111....................................10011011001011.....11111........10001101001100011111.............11001....10101..................10101......111111000110100010010111.........10001........101100111......101100101.....11110010001111101........10011...........110001001....10001011....10100010001100100101111...100111..	
cds-NP_415174.1           	-0.230 	0.145  	0.130  	10110011101011100010101.........101111........10001000101001011...........10100101...............1011101000111.......1000110011..............1110011......11001...........................10001..	
cds-NP_415175.1           	0.970  	0.009  	0.097  	10001....100010101................1111011......101001001010011001001100011..10100101...............10100101100010110101010001001...1101000110011000111....................1100111010001.......1110100100011001001001...100100011.....10101010010001011......110101101................10011001.................10001001.........11000111101...............10100010101.......................................1001000100101....1010100101...................................111001..........................1001100011100101..100011..........1011100100011011110110011..............111001110001111...........10011..................111001001...........111001....1011111.....10101..........1100110111.......100101001......1000100010010001.....100010011011001............1100011011011......111011001........................1111010001000101.................11001100101001111...110111.	
cds-NP_415176.1           	1.590  	0.031  	0.000  	1001001100110010001......10011.................10010001000100101010001......11101100011001001.....1010011001..........1101001110010101......11011...............	
cds-NP_415177.4           	-0.020 	0.043  	0.209  	11100011001010011.......10001110111..............111101......10001010001...............................10101.......1000111101............10111.....100010101111..............10011...........1001111...........1010101.....1000100011111.......10011010111.....100010001011...........1101011101.....1010001011001.......10001.......	
cds-NP_415178.1           	2.490  	0.051  	0.085  	.......11101...101000111.......1110011101000101.....110010011.......10011001101..1010011001......10011...........1001011010110010110011.....11100010100101100100110010100011.........110011...........111011..............1011001...1001001	
cds-NP_415179.1           	1.050  	0.044  	0.128  	1001101101.....101100011011...........10010001000101....................111010011...........1001100101101001001010110101....1010111110001011............10011101....1101001101........10110110011.....110111.............100011011.........11010001...........1101000111.....110011011001.......111011.........111111........................1011011....1001000110111....................111100011001.........11001.......10011100111............................1101101111111100110011011.	
cds-NP_415180.1           	-1.170 	0.043  	0.223  	10001111101111001011............110101011.........................10100111...............................10111100101.......................1010111.....101001...................11001...	
cds-NP_415181.1           	2.150  	0.051  	0.102  	......111101...10110001........1100100101000101.....11001101........10011101.......10011.......1110011...........1001011010110010110011.....111000111....1100110110010100111..........1000101101......11001......11001....1010001.101001001	
cds-NP_415182.1           	1.830  	0.075  	0.091  	1001101101.....101100011001...........1001000100010101..................110010011...........100110010010100100101.1101010001101010011000101001.............11001....1101101101........1011101001101...11001101...........10001101100100010011.10001...........1111000111.....110011011001.......11101.......110111111........................1110011.......10001100111....10110001.........1101101000111001....110010001.......100110011100101...........................1001101010111101010010111.	
cds-NP_415183.1           	0.700  	0.011  	0.059  	.....1010101.....11011...........10011................................110001.................100111001...........10011101.............10001001001011.......10101........11101....10101101....................1001110011..............10011011..........1010101......1011000100111.1100101.10001.........1001111.......1100101011001.........11010001000101....1001110011.1010101....10011...........1001001001......101011......100011100101.......1001010101010011010111....100011..................1001011...1110001000100110001......100110010001....1001001......110101.	
cds-NP_415184.1           	1.040  	0.039  	0.132  	....11101.......1011101....101001............10011011011..............11001110001....................10010110001.................10111.....10001001111000101001.....10111......1110001.11100101....................100110011011101................1010111...11001001101.....1000101101111........11101....110110001011.	
cds-NP_415185.1           	1.450  	0.029  	0.071  	110100100110010110010001....11111.........11001001.......10100111......100100010111001011..101100101001011...........101100101..................101000111..10111..........110011011101....10111100010100010001111.........................110011.	
cds-NP_415186.1           	5.220  	0.000  	0.451  	1101010011....11100111010101001110111001101101001..101100011011001.111111111111..11001101.....10110011010110001100110001001........1010100100101111...10011.1110001111....11111010011.............1011110011111101000111011.....	
cds-NP_415187.1           	4.340  	0.024  	0.362  	10101010111.........110111001010101011011101110011011001...1100100111011001.111011011111.......101110001...10111001111011....110010001001........1010101...101111...10111..100011011....1000101101..............1001001010111100111111011000101.......	
cds-NP_415188.1           	-0.540 	0.030  	0.126  	.........1101010001..........................................11010001000110010001....101011...............10101..............1000111100011......1001001..............111001.....101011.................1011100011........................10111......100110001001........110011........101010100010011.........	
cds-NP_415189.1           	0.940  	0.095  	0.047  	11111.....111000101...............1110010011.10011011...............1001101011001101....10001101001011001010001.....11010011....1000110010011...........1100011.........................10101000101.....100011........10010011.....................1001010111....................10101100010001...1011000101100010011.....10111010011....11001....	
cds-NP_415190.1           	2.860  	0.000  	0.285  	1010011....10111011100100101.........110110100101.........101110101100010111101001001...1011111110011011001100110011....110101....1101001100111001.110101001.........110100101111110011010110001..1110111101...1011011.......1010110001..........110010111...................100101....110010001......1100110001.....1001001101.....................10011.10011............................101000111011100010001.....11101....110001..10010100100101...........10011.....10011..1000110001................11110011010011101.....	
cds-NP_415191.1           	1.260  	0.082  	0.075  	.................1101110011.........11011...............11001101....100111.............100110111................10011100011.........1010011000111.....10011001....1010111001001001101001101110010001.....101001....10100100100100010001....100100111001001......101001010101.....11010101...........	
cds-NP_415192.1           	1.410  	0.077  	0.032  	100111010101...........100110011........101011.......10101...................1010110011110011..........1000100111000101101001.......10010001110101.........	
cds-NP_415193.2           	0.800  	0.049  	0.058  	.................11011..1000100100010101.....................1100111....10001001....10101...............1000101................11001100010101........11010001001....100111.................10001......1100110110100100110001101..........10001111.......1001011100101....11000100101.......1000101100100101011.........110011001001.......................	
cds-NP_415194.1           	1.110  	0.040  	0.074  	10001010010101001....10011.....101001.....111100101.......11001001011......111010011.............110111..........11001......110101..1001001..........11011001001101111..............11101001....10010110001001...........1001101100100100101.....10100011011.....1101101........11011......1010011001......10100011101.......100010110010101010111..........11001........11110001....10100011....................................11001101010011...100011.....10101................101011..	
cds-NP_415195.1           	2.350  	0.015  	0.090  	.......10110001100010101....101011...............101001....101100101100100101..100100101...............1101110001100011001.....10101............100101....11000111........1001001010010100011110101......................11001001111.....10010010100100010001...............................................1010100100110111....10001001.1100101001000111000101110010001..1011001011............1010101	
cds-NP_415200.1           	1.710  	0.016  	0.088  	1101101101...........1010011......10011...........101101..............110100011....10001000101.....10111011......11001001101011..................11101.....11100010011.11001001............1001100011010010001.....10001000100011001.101110001000110010001.................10010101...........10001001000101010001001001110100101001.....11110001001010111.......11001111.............100110101101......1001010001.1100011010101...........10001100110011...........1000101011001001...........................11100110011......................1010001001................	
cds-NP_415201.1           	2.060  	0.000  	0.116  	101001110100111000101.....1100110001.1111001.......10001..........1110001.....................110011000101001............101011............................10011001001.............1110001001.......1110001000110010001001111001001001001..........1001011	
cds-NP_415202.1           	3.070  	0.017  	0.111  	........1001011001....11011001..100101..........10010001100011001....................10010101......10110100011..............100011001001100100010011010111................101001011001000101011100010010100011.....100011101.....................100100101..1000101001011001.....10001101100010001.1001010011........100011011000100010101011....1110001..........10011....10010001.110001.....100101100011001110011..	
cds-NP_415203.1           	0.590  	0.013  	0.047  	....................111000110011.............100011...11010100100101......101001011........10011.........1100010110011.......10101...11011................110111....1100101........11001......................100010100011001.........100011....11101100010101001........................100111....111000111..........1011001001100101010011010011....1010001001....1001001...10100011........	
cds-NP_415204.1           	2.360  	0.019  	0.086  	...................11001001.......11101......1001001101.....10100110101001101.......110110001100101..............1000100100010010010111001..................................110001001..10101010011....111111.....1010001001100110101101.............10101001011001........	
cds-NP_415205.1           	2.150  	0.025  	0.313  	1011011001000101......10011101....1101011......11001011101010001.........10001011110001101...10101100110011....100100101..11011.......100011111100110111..10001............10001101100111...1001100101101001......1100010011.......1110011.111101....10111........110011101010011001...10111111..1111100110010111001101000101....101011101......1111111011110111111011101101........................100100011001.....100100110010101.....100011001............10111......100010011.............................1010011..10001101001.........1000101..............11011...............111010100101....10011...........110101011..........11100100100111..................	
cds-NP_415206.1           	1.490  	0.092  	0.042  	..........1100110001.......10001...............1110101000100010101.....100010110010001011010100010100011001001010110001011001....10010001.............10001011001..........11000101..........1110101..............110100110001001000110101.....11011100101......1010010101011....10111............................1001100101......10100100110001.............10111001........................1000111............100111000101000111............10011101..............10011011.......101011001101........11011....1110001....10001.........................110001010001001..	
cds-NP_415207.1           	0.150  	0.011  	0.135  	..........10101001001001101.............10001111..............10001....1000101000100011010100100101....................10001...............................................................10101110001...101010011.......10110010001010001110001.....110011....10101....10001011..........10011....110010101....11010100011.......111001..........10111.............11100110100101..10100011101.........................101001101........110101001........100010011.....101111......	
cds-NP_415208.1           	0.640  	0.065  	0.130  	10011110110001101...........100010011.........10010011011..............1011010011..........100010011001.....	
cds-NP_415209.1           	-1.880 	0.108  	0.095  	............10101..1011011............110011010001010011011001............................111101001101........................1111001...............	
cds-YP_001491546.1        	-0.290 	0.607  	0.000  	11011...........100110001...	
cds-NP_415210.1           	2.390  	0.074  	0.114  	10100111.........1001100010001001001.......10010111101.........1010011..1001010001101101.....1001110010010011......11001..................110101............100110010001010011..	
cds-NP_415211.2           	-2.370 	0.402  	0.000  	..............................................10010010101....1001001..........1100111001001......	
cds-NP_415212.1           	1.020  	0.055  	0.114  	10101.............1111001100100101100011....110101................100011001.........110001....1101001....100110101..10101.....11001001.............110001....110111001100010101.111001..1101001................11000100011001......................110010011..	
cds-NP_415213.1           	-0.120 	0.028  	0.116  	10010100011011.............11001101.........1000101..........10010001001001110001......10011111001101.......................................................1011001100101...110011001	
cds-NP_415214.1           	-0.050 	0.082  	0.117  	...............11010010001111...............................11010001..........................11011011....10111...........1000111.......1000111.........................10011......110001001001010001.............11001001101001....10101.......1011001001101010110001000101101.....1010100010100110100010101......................1101010111.....1000101000110001100110010001101.10101110011000101........................1111110001001........10010001.....................................10001.........1001011................101110011............10110011...	
cds-NP_415215.1           	1.380  	0.043  	0.110  	......11111011000111001.......1000111........100010101..1010001.....................1011001...........101100111011........1100011....1100110101101001....10001001...	
cds-gnl|b0691|CDS869      	1.790  	nan    	nan    	10010011........110011...........10001....110101.....100111..................................1001001.100010011101..........11111....10100101010011010100010011001010010001101.......................110100110101010001..	
cds-NP_415219.1           	4.960  	0.014  	0.560  	........1011010110110110001111...10010010110111001001010101001011......100100101.....1100101010111001010100101000110001..1010100101111101001....100010010110111.110111101111...111001......11001000101011011010001..............1011000100011111000110011...........101010011...1001110111101100110101010011...........11001001...1001101111000101101...100010111010110011.11101001111001001......100110110011011011......111001101101011011...........	
cds-NP_415220.1           	0.480  	0.040  	0.104  	100101010001..................101001110100101001001..........................10011001.....110001......10001...110011011..........................11011000110001100010100111.................................1110011.....................................101100100011000110011001..........1010110100100011....1100100110111100011010011.11001..11101......1110001...............................1000111.........110010100010001....1110111001....111001001....................10101011011....1001001.........10111...........100101...110011.........1010011111.....100100110111010011.....10011..........10010100110010011....100100011................1011000101101..................11111...11000110110010001011......100111........111111...............	
cds-YP_001165310.1        	2.810  	0.000  	0.212  	......101111001.....10100101.......11001.11001001001010010100100101.........11101111.	
cds-NP_415222.1           	0.700  	0.000  	0.102  	1001111.....100110001............100011........11110101.....1011001001001.............................10100100010101...........1101001010100011...........1010110111...........110011.........1101110010001...............1010111	
cds-NP_415223.1           	0.900  	0.062  	0.163  	........................101110010010001011..........10111011..........11001011...........1001010001.....1111001.............100100110001011001010010010011001001010001..........111101....10001..............10011....110100101......10001001...............11111...............10001001100111...............11001010001........................100111.............10001001...10011101................100010101001110001101101101011101....1111111011110111001..1100110110101111.....10100101110101110101110010001010001001.......1101000101.............110001..........................10001001010001.........................101111....100111.....110010111000100101...............1000110010001...10111....110101.............100011....11001101001....101000110100110001011.......10101...101101...1100111011000101......1010001....101011.............11001...........10101011001101...............110101.......10010001	
cds-NP_415224.1           	-0.280 	0.000  	0.121  	.......100111111100011.11001100111...................110001..................................100110001001......................10001.................1010010011001....11011...11011010101001..	
cds-NP_415225.1           	0.730  	0.000  	0.262  	............1110010001001.........1111111001100110101.........11000100111101110010001...................10001................................100011..................................110011110101.....110011011...........1010111101011111...............10101110111111...1001100101001001100011............101111............................................................100100011.......10010100011....10010001..........10001001...............11011010011000100010010010100111................10011........1011001........................10101......................1101101000111....10010100010011011...10001..100101111......1100111001111111.10100101.......1100011110100111.11010110111011011	
cds-NP_415226.1           	3.010  	0.000  	0.384  	.....11110011111111...100010011001.......10011100101....1010011101101011010111111100011.........10101010001011.............1011001001010011.....10111011001....10010001101101011111.1011101111....10011.1001001..........................................1001101101111...111010011.......1111010111111101111001.......................101110011011.....100110100010010011.111101001110010001101111111011100111.....11000101001010010111...11110001011...............10011101...................1101110111110010111.110100011.................1110111001111001011.......10011.	
cds-YP_588443.1           	5.970  	0.000  	0.690  	100011001111111101111011.....	
cds-NP_415228.1           	1.940  	0.088  	0.294  	1011001..111110001010001101.11111.....110110011.....................	
cds-NP_415229.1           	-1.120 	0.060  	0.039  	...........100100011.............101011............1100011.............1110001001....................10101..............1110011...........11110001001.....10011001....................1111011001.............10110011001.............10001001.......10111.......................................10100111..............110101.....10011......100101000100011.........11101.....10001....1010101....1010001.............10011.............1001001................110011001..........................10100010010011........100101....................1010010011010010011001....1001001.....1001001..........................10011..........100100011.....1000101..................1010110011...........1000100011......1100101.........................11001001.....1010101...................................100011......1011010001100101.................1001001010001..........10011..........................................10101...................................11101...............................................11000111..1000100011.....1001101.....101101..............10011.........................10001...............111011001000110001......1100101010010001.........101101.................110010010011.......1001101.....................100011....101000101101..........101001011.....................11001111................................................1100110001001.............101011001001....10010101....1001101110011	
cds-NP_415230.1           	7.540  	0.000  	0.583  	101111110011101011111101001011.....10011011010111111...111110111100100110101000111011111111000110111100011..	
cds-gnl|b0703|CDS883      	-1.400 	nan    	0.013  	............11101...............................................11000111..1000100011.....1001101.....101101..............10011.........................10001...............111011001000110001......1100101010010001.........101101.................110010010011.......1001101.....................100011....101000101101....1011001010001001......................1000101............110011001..10101110011.............................................................10010011001..........	
cds-NP_415232.1           	2.430  	0.032  	0.201  	10011111111110101100101......11011....11001.......11011....1001110001001...........1110100101.....100010011.......110001001100011.......1011011000111011......10010001......101110100011.....	
cds-YP_009518758.1        	5.100  	0.071  	0.131  	101001100101...10001011001001111011011.....1001001....10110010010001.100010011......	
cds-gnl|b0705|CDS886      	2.800  	nan    	0.144  	1001111011011.....1001001....10110010010001.100010011011....100111011001...............10001........101100100100111001..............110110100011....10100010001......11101......100010001........................101011101...110101010010011101010011........1010111.........10001000101000101010111..............1100100101011....1100010001....1000110011......	
cds-NP_415234.1           	2.860  	0.043  	0.103  	1010011001011..10001010001001111011011.....1001001......110010010001.1000100110111...100011011101.......11010001.............101100100100111001..............110110100011....10100010001......11101......100010001..........................1011101...110101.	
cds-NP_415235.1           	1.380  	0.000  	0.095  	101001....1101101001001.........1101000101111............11001001001001100100011111...........111010011...........10011001..........11010011011.........11011............	
